id,name,category,subtype,rarity,level,image_url,wiki_url,obtain,dmg_clean,dmg_max,def_clean,def_max,upgradeable,crit,health_regen,stamina_regen,price_clean_oml,price_max_oml,price_source,price_category,last_updated,updated_at
698,Paladin Armor,Armor,,Uncommon,46,https://swordburst2.fandom.com/Special:Redirect/file/Paladin_Armor.png,https://swordburst2.fandom.com/wiki/Paladin_Armor,Desert Vulture,,,2382,3334,TRUE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
699,Orenmir,Katana,,Legendary,85,https://swordburst2.fandom.com/Special:Redirect/file/Orenmir.png,https://swordburst2.fandom.com/wiki/Orenmir,Mortis the Flaming Sear,1086,2172,,,TRUE,15%,+5%,+2%,0.5,1,clean_legendaries,Floor 9,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
700,Ordinance,Rapier,,Burst,350,https://swordburst2.fandom.com/Special:Redirect/file/Ordinance.png,https://swordburst2.fandom.com/wiki/Ordinance,Crystal Forge,20245,50612,,,TRUE,24%,+35%,+35%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
701,Palm Leaf Cleaver,Longsword,,Uncommon,5,https://swordburst2.fandom.com/Special:Redirect/file/Palm_Leaf_Cleaver.png,https://swordburst2.fandom.com/wiki/Palm_Leaf_Cleaver,Gorilla Berserker,Level Based +3 per level,,,,FALSE,5%,+4%,+4%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
702,Pastel Edge,Longsword,Limited (Axe,Legendary,300,https://swordburst2.fandom.com/Special:Redirect/file/Pastel_Edge.png,https://swordburst2.fandom.com/wiki/Pastel_Edge,Alpha Killer Bunny,11425,22850,,,TRUE,12%,+20%,+20%,2-3,1-2,clean_legendaries,Egg Realm (2025),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
703,Paradoxic Blade,Longsword,Limited,Legendary,270,https://swordburst2.fandom.com/Special:Redirect/file/Paradoxic_Blade.png,https://swordburst2.fandom.com/wiki/Paradoxic_Blade,Helmfirth Exclusive Shop,8599,17198,,,TRUE,20%,18%,+18%,3-5,3-4,clean_legendaries,Sixth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
704,Overdrill,Rapier,Limited,Legendary,340,https://swordburst2.fandom.com/Special:Redirect/file/Overdrill.png,https://swordburst2.fandom.com/wiki/Overdrill,Helmfirth Exclusive Shop,15800,31600,,,TRUE,21%,+25%,+25%,10-12,8,clean_legendaries,Eleventh Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
705,Parasitic Witch,Spear,,Legendary,325,https://swordburst2.fandom.com/Special:Redirect/file/Parasitic_Witch.png,https://swordburst2.fandom.com/wiki/Parasitic_Witch,Headless Horseman (2023),31242,,,,TRUE,25%,25%,25%,20-25,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
706,Pearl Enguarde,Rapier,Category,Common,18,https://swordburst2.fandom.com/Special:Redirect/file/Pearl_Enguarde.png,https://swordburst2.fandom.com/wiki/Pearl_Enguarde,Intermediate Shop (formerly) Pearl Keeper,57,79,,,TRUE,11%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
707,Peppermint Harvester,Scythe,Limited,Rare,55,https://swordburst2.fandom.com/Special:Redirect/file/Peppermint_Harvester.png,https://swordburst2.fandom.com/wiki/Peppermint_Harvester,Icy Imp,900,,,,TRUE,18%,+2%,+2%,1-2,,misc,Winter Event,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
708,Perception,Rapier,,Legendary,285,https://swordburst2.fandom.com/Special:Redirect/file/Perception_IconSB2.png,https://swordburst2.fandom.com/wiki/Perception,Suspended Unborn,9763,19526,,,TRUE,11%,+24%,,0.5,0.5,clean_legendaries,Floor 12,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
709,Peacekeeper,Rapier,,Common,36,https://swordburst2.fandom.com/Special:Redirect/file/Peacekeeper.png,https://swordburst2.fandom.com/wiki/Peacekeeper,Advanced Shop,225,315,,,TRUE,11%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
710,Peppermint Slasher,Greatsword,Limited,Rare,1,https://swordburst2.fandom.com/Special:Redirect/file/Peppermint_Slasher.png,https://swordburst2.fandom.com/wiki/Peppermint_Slasher,*Wintula the Punisher *Withered Wintula,228,364,,,TRUE,18%,+4%,,4-5,3-4,misc,Winter Event,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
711,Petal Knight Cloak,Armor,,Rare,70,https://swordburst2.fandom.com/Special:Redirect/file/Petal_Knight_Cloak.png,https://swordburst2.fandom.com/wiki/Petal_Knight_Cloak,Petal Knight,,,5828,8159,TRUE,,,+6%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
712,Petal Knight Helmet,Accessory,Helmet,Uncommon,70,https://swordburst2.fandom.com/Special:Redirect/file/Petal_Knight_Helmet.png,https://swordburst2.fandom.com/wiki/Petal_Knight_Helmet,Petal Knight,,,700,,TRUE,,,+10%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
713,Permaspire,Rapier,Limited Frozen Wonders Collection,Tribute,450,https://swordburst2.fandom.com/Special:Redirect/file/Permaspire.webp,https://swordburst2.fandom.com/wiki/Permaspire,Helmfirth Exclusive Shop,43250,86500,,,TRUE,50%,+60%,+60%,70,70,tributes,Fourteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
714,Petal Slasher,Greatsword,,Common,300,https://swordburst2.fandom.com/Special:Redirect/file/Petal_Slasher.png,https://swordburst2.fandom.com/wiki/Petal_Slasher,Ancient Blossom Knight,6725,9415,,,TRUE,18%,10%,10%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
715,Petaled Spiral,Spear,Limited HI <small></small,Tribute,420,https://swordburst2.fandom.com/Special:Redirect/file/Petaled_Spiral.png,https://swordburst2.fandom.com/wiki/Petaled_Spiral,Helmfirth Exclusive Shop,35000,,,,FALSE,30%,+60%,+60%,30,30,tributes,Twelfth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
716,Permafrost,Scythe,Limited,Legendary,175,https://swordburst2.fandom.com/Special:Redirect/file/Permafrost.png,https://swordburst2.fandom.com/wiki/Permafrost,*Wintula the Punisher *Withered Wintula,2879,5758,,,TRUE,18%,,+25%,1-2,1,clean_legendaries,- EVENT FLOOR LEGENDARIES -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
717,Permafrosted Blade,Katana,Limited Frozen Wonders Collection,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Permafrosted_Blade.webp,https://swordburst2.fandom.com/wiki/Permafrosted_Blade,Helmfirth Exclusive Shop,2200,4400,,,TRUE,16%,+15%,+15%,2-3,2-3,clean_legendaries,Fourteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
718,Peppermint Scythe,Scythe,Limited,Rare,55,https://swordburst2.fandom.com/Special:Redirect/file/Peppermint_Scythe_New.png,https://swordburst2.fandom.com/wiki/Peppermint_Scythe,Icy Imp,888,,,,TRUE,18%,+1%,+4%,20,,misc,Winter Event,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
719,Phantom Cape,Accessory,Cape,Legendary,1,https://swordburst2.fandom.com/Special:Redirect/file/Phantom_Cape.png,https://swordburst2.fandom.com/wiki/Phantom_Cape,Burst Store,,,,,FALSE,,,+19%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
720,Phantom Gripper,Longsword,Limited,Legendary,280,https://swordburst2.fandom.com/Special:Redirect/file/Phantom_Gripper.png,https://swordburst2.fandom.com/wiki/Phantom_Gripper,Spooky Hollow Shop,8900,17800,,,TRUE,10%,+40%,+40%,12,10-12,clean_legendaries,Fifteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
721,Phantom Shard,Rapier,,Rare,180,https://swordburst2.fandom.com/Special:Redirect/file/Phantom_Shard.png,https://swordburst2.fandom.com/wiki/Phantom_Shard,Spiritual Hound,3038,4860,,,TRUE,11%,,+8%,4-5,2-3,misc,2-3 Hallow Merchant 2-3 Knight Claymore,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
722,Phantom Zephyr,Spear,,Legendary,250,https://swordburst2.fandom.com/Special:Redirect/file/Phantom_Zephyr.png,https://swordburst2.fandom.com/wiki/Phantom_Zephyr,Enraged Wendigo,11112,,,,TRUE,21%,,18%,3-5,2-3,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
723,Phasmatic Cybersuit,Armor,,Burst,300,https://swordburst2.fandom.com/Special:Redirect/file/Phasmatic_Cybersuit.png,https://swordburst2.fandom.com/wiki/Phasmatic_Cybersuit,Crystal Forge,,,223462,312846,TRUE,,10%,10%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
724,Piercing Divine,Rapier,Limited (Lance,Legendary,375,https://swordburst2.fandom.com/Special:Redirect/file/Piercing_Divine.png,https://swordburst2.fandom.com/wiki/Piercing_Divine,Frosty Fields,22750,45500,,,TRUE,15%,+25%,+25%,8-10,6,clean_legendaries,Fifteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
725,Phantom Cloak,Armor,,Common,67,https://swordburst2.fandom.com/Special:Redirect/file/Phantom_Cloak.png,https://swordburst2.fandom.com/wiki/Phantom_Cloak,Helmfirth Armor Shop,,,4762,6666,TRUE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
726,Photon Claymore,Greatsword,,Common,200,https://swordburst2.fandom.com/Special:Redirect/file/Photon_Claymore.png,https://swordburst2.fandom.com/wiki/Photon_Claymore,Orange Failed Experiment,3662,5126,,,TRUE,18%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
727,Piercing Light,Rapier,,Common,55,https://swordburst2.fandom.com/Special:Redirect/file/Piercing_Light.png,https://swordburst2.fandom.com/wiki/Piercing_Light,Helmfirth Weapon Shop,524,733,,,TRUE,11%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
728,Photon Spear,Spear,,Common,200,https://swordburst2.fandom.com/Special:Redirect/file/Photon_Spear_Icon.png,https://swordburst2.fandom.com/wiki/Photon_Spear,*Failed Experiment *Orange Failed Experiment,3662,5126,,,TRUE,21%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
729,Photon Scythe,Scythe,,Legendary,200,https://swordburst2.fandom.com/Special:Redirect/file/Photon_Scythe.png,https://swordburst2.fandom.com/wiki/Photon_Scythe,Duality Reaper,3662,,,,FALSE,18%,-3%,+13%,0.5-1,0.5,clean_legendaries,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
730,Pirate's Coat,Armor,,Uncommon,38,https://swordburst2.fandom.com/Special:Redirect/file/Pirate's_Coat.png,https://swordburst2.fandom.com/wiki/Pirate's_Coat,Wattlechin Crocodile,,,1620,,TRUE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
731,Plasma Fang,Scythe,BGM's [[Tributes|Tribute]] <small>()</small,Tribute,225,https://swordburst2.fandom.com/Special:Redirect/file/Plasmafang.png,https://swordburst2.fandom.com/wiki/Plasma_Fang,Transylvania,5250,10500,,,TRUE,54%,,+6%,7-8,6-7,tributes,Floor 10,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
732,Pink Cape,Accessory,Cape,Rare,1,https://swordburst2.fandom.com/Special:Redirect/file/Pink_Cape.png,https://swordburst2.fandom.com/wiki/Pink_Cape,Egg Mimic,,,,,FALSE,,12%,3%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
733,Pink Sacred Piercer,Rapier,Century's [[Tributes|Tribute]] <small>()</small,Tribute,250,https://swordburst2.fandom.com/Special:Redirect/file/PinkSacredPiercer.png,https://swordburst2.fandom.com/wiki/Pink_Sacred_Piercer,Hypersiddia,6125,12250,,,TRUE,33%,+3%,+3%,3-4,1-2,tributes,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
734,Plutonic Visage,Longsword,,Legendary,225,https://swordburst2.fandom.com/Special:Redirect/file/Plutonic_Visage.png,https://swordburst2.fandom.com/wiki/Plutonic_Visage,"Egnor, the Undead King",4569,9138,,,TRUE,12%,+5%,+5%,15-18,10-12,clean_legendaries,30-40 Prismatic Apex 2 Floria's Gift,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
735,Plasmatic Core,Scythe,,Legendary,240,https://swordburst2.fandom.com/Special:Redirect/file/Plasmatic_Core.png,https://swordburst2.fandom.com/wiki/Plasmatic_Core,Helmfirth Exclusive Shop,5148,10296,,,TRUE,20%,+15%,+15%,3-4,2,clean_legendaries,Sixth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
736,Positive Shield,Accessory,Shield,Burst,250,https://swordburst2.fandom.com/Special:Redirect/file/Positive_Shield.png,https://swordburst2.fandom.com/wiki/Positive_Shield,Crystal Forge,,,25537,,TRUE,,+15%,+20%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
737,Portalripper,Rapier,,Rare,135,https://swordburst2.fandom.com/Special:Redirect/file/Portalripper.png,https://swordburst2.fandom.com/wiki/Portalripper,Command Falcon,1,2916,,,TRUE,11%,+4%,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
738,Precipice Edge,Katana,,Common,43,https://swordburst2.fandom.com/Special:Redirect/file/Precipice_Edge.png,https://swordburst2.fandom.com/wiki/Precipice_Edge,Advanced Shop,324,453,,,TRUE,15%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
739,Poseidon's Aegis,Armor,,Rare,405,https://swordburst2.fandom.com/Special:Redirect/file/Poseidon's_Aegis.png,https://swordburst2.fandom.com/wiki/Poseidon's_Aegis,Steelfin Skirmisher,,,402436,563410,TRUE,,25%,25%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
740,Primordial Imprisonment,Katana,Limited Terror's Soul <small>()</small,Tribute,450,https://swordburst2.fandom.com/Special:Redirect/file/Primordial_Imprisonment.png,https://swordburst2.fandom.com/wiki/Primordial_Imprisonment,Nightmares Forged,<br>+230 per level,,,,FALSE,55%,-40%,+100%,Untradeable,,tributes,Egg Realm (2026),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
741,Powered Icicle,Rapier,Limited,Legendary,65,https://swordburst2.fandom.com/Special:Redirect/file/Powered_Icicle.png,https://swordburst2.fandom.com/wiki/Powered_Icicle,Rat,1043,,,,TRUE,11%,20%,20%,1,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
742,Primordial Nightmare,Greatsword,,Tribute,300,https://swordburst2.fandom.com/Special:Redirect/file/Primordial_Nightmare.png,https://swordburst2.fandom.com/wiki/Primordial_Nightmare,Crystal Forge,+125 per level,,,,FALSE,20%,+25%,+25%,100,,tributes,- EVENT FLOOR TRIBUTES -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
743,Priest Cloak,Accessory,Cape,Uncommon,1,https://swordburst2.fandom.com/Special:Redirect/file/Priest_Cloak.png,https://swordburst2.fandom.com/wiki/Priest_Cloak,Burst Store,,,,,FALSE,,+3%,+12%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
744,Pneuma,Spear,,Burst,300,https://swordburst2.fandom.com/Special:Redirect/file/Pneuma.png,https://swordburst2.fandom.com/wiki/Pneuma,Crystal Forge,9958,24895,,,TRUE,21%,30%,50%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
745,Primordial Oracle,Rapier,,Tribute,415,https://swordburst2.fandom.com/Special:Redirect/file/Primordial_Oracle.png,https://swordburst2.fandom.com/wiki/Primordial_Oracle,Crystal Forge,+170 per level,,,,FALSE,50%,+45%,+45%,2k-2.5k+,,tributes,- EVENT FLOOR TRIBUTES -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
746,Primordial Nightmare (Sealed),Greatsword,,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Primordial_Nightmare_(Sealed).png,https://swordburst2.fandom.com/wiki/Primordial_Nightmare_(Sealed),Crystal Forge,+60 per level,,,,FALSE,10%,+15%,+15%,40+,,clean_legendaries,- MISCELLANEOUS -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
747,Prismatic Apex,Longsword,Limited,Legendary,250,https://swordburst2.fandom.com/Special:Redirect/file/Prismatic_Apex.png,https://swordburst2.fandom.com/wiki/Prismatic_Apex,Egg Mimic,5556,11112,,,TRUE,12%,+6%,+6%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
748,Primordial Oracle (Sealed),Rapier,,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Primordial_Oracle_(Sealed).png,https://swordburst2.fandom.com/wiki/Primordial_Oracle_(Sealed),Crystal Forge,+87-88 per level,,,,FALSE,25%,+20%,+20%,50+,,clean_legendaries,- MISCELLANEOUS -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
749,Primordial Platemail,Armor,Limited Merchant (Limited,Legendary,275,https://swordburst2.fandom.com/Special:Redirect/file/Primordial_Platemail.png,https://swordburst2.fandom.com/wiki/Primordial_Platemail,Hollow Shopkeeper,,,160000,224000,TRUE,,+15%,+15%,5,5-6,clean_legendaries,Fifteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
750,Proclamation,Spear,Limited,Tribute,25,https://swordburst2.fandom.com/Special:Redirect/file/Proclamation.png,https://swordburst2.fandom.com/wiki/Proclamation,Mega Present,2025,,,,TRUE,25%,+30%,+30%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
751,Purple Scarf,Accessory,Scarf,Rare,1,https://swordburst2.fandom.com/Special:Redirect/file/Purple_Scarf.png,https://swordburst2.fandom.com/wiki/Purple_Scarf,Burst Store,,,,,FALSE,,+8%,+8%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
752,Purple Crafter's Outfit,Armor,Attire <small>()</small,Legendary,75,https://swordburst2.fandom.com/Special:Redirect/file/Purple_Crafter’s_Outfit.png,https://swordburst2.fandom.com/wiki/Purple_Crafter's_Outfit,*Neon Chest (formerly) *Rekindled Unborn,,,5647,7905,TRUE,,20%,20%,1,-0.7,clean_legendaries,Floor 6 / Undershroud,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
753,Purple Striker,Katana,Limited,Legendary,90,https://swordburst2.fandom.com/Special:Redirect/file/Purple_Striker.png,https://swordburst2.fandom.com/wiki/Purple_Striker,Ghost of the Past,2238,,,,TRUE,15%,10%,10%,1,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
754,Purple Sacred Piercer,Rapier,Century's [[Tributes|Tribute]] <small>()</small,Tribute,250,https://swordburst2.fandom.com/Special:Redirect/file/PurpleSacredPiercer.png,https://swordburst2.fandom.com/wiki/Purple_Sacred_Piercer,Hypersiddia,6125,12250,,,TRUE,33%,3%,3%,3-4,1-2,tributes,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
755,Purple Cape,Accessory,Cape,Rare,1,https://swordburst2.fandom.com/Special:Redirect/file/Purple_Cape.png,https://swordburst2.fandom.com/wiki/Purple_Cape,Egg Mimic,,,,,FALSE,,8%,7%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
756,Punisher,Spear,Punisher <small>()</small,Tribute,300,https://swordburst2.fandom.com/Special:Redirect/file/Punisher.png,https://swordburst2.fandom.com/wiki/Punisher,Sector-235,12500,25000,,,TRUE,50%,12%,12%,6-8,4-5,tributes,Floor 12,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
757,Quantum Circuit,Armor,,Legendary,140,https://swordburst2.fandom.com/Special:Redirect/file/Quantum_Circuit.png,https://swordburst2.fandom.com/wiki/Quantum_Circuit,"Ra, the Enlightener",,,15500,21700,TRUE,,,,0.5,0.5-1,clean_legendaries,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
758,Radiance,Rapier,,Rare,72,https://swordburst2.fandom.com/Special:Redirect/file/Radiance.png,https://swordburst2.fandom.com/wiki/Radiance,Wingless Hippogriff,779,1246,,,TRUE,11%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
759,Rabbit Trace,Longsword,,Legendary,340,https://swordburst2.fandom.com/Special:Redirect/file/Rabbit_Trace.webp,https://swordburst2.fandom.com/wiki/Rabbit_Trace,Killer Bunny,19000,38000,,,TRUE,18%,+24%,+24%,3,1,clean_legendaries,Egg Realm (2026),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
760,Rahjin’s Shield,Accessory,Shield,Rare,15,https://swordburst2.fandom.com/Special:Redirect/file/Rahjin’s_Shield.png,https://swordburst2.fandom.com/wiki/Rahjin’s_Shield,Rahjin the Thief King,,,125,,TRUE,,+2%,-1%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
761,Rakkii,Katana,Limited Compensation <small>()</small,Tribute,1,https://swordburst2.fandom.com/Special:Redirect/file/Rakkii_Icon.png,https://swordburst2.fandom.com/wiki/Rakkii,,35000,70000,,,TRUE,25%,+30%,+30%,Untradeable,,tributes,Untradeable The Final Gift Untradeable Gift of Contribution,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
762,Rainy Day,Accessory,,Rare,1,https://swordburst2.fandom.com/Special:Redirect/file/Rainy_Day.png,https://swordburst2.fandom.com/wiki/Rainy_Day,Burst Store,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
763,Rapture,Longsword,Dagger <small>()</small,Legendary,325,https://swordburst2.fandom.com/Special:Redirect/file/Rapture.png,https://swordburst2.fandom.com/wiki/Rapture,Atheon,15621,31242,,,TRUE,12%,+10%,+10%,0.3-0.5,0.3-0.5,clean_legendaries,Atheon's Realm,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
764,Rainbow Rusty Rapier,Rapier,Dedication... <small>()</small,Tribute,10,https://swordburst2.fandom.com/Special:Redirect/file/Rainbow_Rusty_Rapier.png,https://swordburst2.fandom.com/wiki/Rainbow_Rusty_Rapier,Iris Dominus Dummy,42,84,,,TRUE,33%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
765,Ragnarok,Greatsword,Battle Axe <small>()</small,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Ragnarok.png,https://swordburst2.fandom.com/wiki/Ragnarok,Duality Reaper,2168,4336,,,TRUE,18%,+6%,+8%,0.5-1,0.5,clean_legendaries,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
766,Ravaged Guilt,Spear,,Legendary,200,https://swordburst2.fandom.com/Special:Redirect/file/Ravaged_Guilt.png,https://swordburst2.fandom.com/wiki/Ravaged_Guilt,Big Candy Bag,+100 per level.,,,,FALSE,10%,10%,10%,0.2 - 0.5,,clean_legendaries,- MISCELLANEOUS -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
767,Ravoris,Rapier,,Legendary,275,https://swordburst2.fandom.com/Special:Redirect/file/Ravoris_Icon.png,https://swordburst2.fandom.com/wiki/Ravoris,Limor the Devourer,9052,18104,,,TRUE,11%,+8%,+15%,1,1,clean_legendaries,Floor 12,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
768,Ravenmourne,Rapier,,Rare,82,https://swordburst2.fandom.com/Special:Redirect/file/Ravenmourne.png,https://swordburst2.fandom.com/wiki/Ravenmourne,Polyserpant,999,1598,,,TRUE,11%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
769,Reality Carver,Spear,Limited FL,Legendary,80,https://swordburst2.fandom.com/Special:Redirect/file/Reality_Carver_Icon.png,https://swordburst2.fandom.com/wiki/Reality_Carver,*Guardian's Vessel *Eternal Domain Dungeon,+23 per level.,,,,FALSE,10%,+10%,+10%,1,,clean_legendaries,Egg Realm (2025),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
770,Reapers Cleavage,Greatsword,Axe (Limited,Rare,235,https://swordburst2.fandom.com/Special:Redirect/file/Reapers_Cleavage.png,https://swordburst2.fandom.com/wiki/Reapers_Cleavage,Helmfirth Exclusive Shop,4925,7880,,,TRUE,6%,+8%,,2,1-2,misc,Nineth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
771,Reconciler,Scythe,,Legendary,285,https://swordburst2.fandom.com/Special:Redirect/file/Reconciler.png,https://swordburst2.fandom.com/wiki/Reconciler,Suspended Unborn,9763,,,,FALSE,18%,+18%,+9%,0.5,0.5,clean_legendaries,Floor 12,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
772,Red Fiery Scarf,Accessory,Scarf,Rare,1,https://swordburst2.fandom.com/Special:Redirect/file/Red_Fiery_Scarf.png,https://swordburst2.fandom.com/wiki/Red_Fiery_Scarf,Burst Store,,,,,FALSE,,+9%,+8%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
773,Reaping Spring,Scythe,Limited,Tribute,300,https://swordburst2.fandom.com/Special:Redirect/file/Reaping_Spring.png,https://swordburst2.fandom.com/wiki/Reaping_Spring,Alpha Killer Bunny,Level Based +118 per level,,,,FALSE,32%,+25%,+25%,15,,tributes,Egg Realm (2026),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
774,Red Crafter's Outfit,Armor,Attire <small>()</small,Burst,250,https://swordburst2.fandom.com/Special:Redirect/file/Red_Crafter's_Outfit.png,https://swordburst2.fandom.com/wiki/Red_Crafter's_Outfit,*Crystal Forge *Halloween Chest (formerly),,,70712,98996,TRUE,,40%,10%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
775,Recidivist,Spear,,Rare,82,https://swordburst2.fandom.com/Special:Redirect/file/Recidivist.png,https://swordburst2.fandom.com/wiki/Recidivist,Undead Berserker,999,1598,,,TRUE,21%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
776,Redeemer,Longsword,Limited Cross <small>()</small,Rare,55,https://swordburst2.fandom.com/Special:Redirect/file/Redeemer.png,https://swordburst2.fandom.com/wiki/Redeemer,*Egg Mimic,555,888,,,TRUE,12%,+1%,+2%,0.5 - 1,0.5 - 1,misc,Easter Event,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
777,Redemption,Rapier,,Burst,250,https://swordburst2.fandom.com/Special:Redirect/file/Redemption.png,https://swordburst2.fandom.com/wiki/Redemption,Crystal Forge,5556,13890,,,TRUE,11%,5%,19%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
778,Redguard Shield,Accessory,Shield,Uncommon,24,https://swordburst2.fandom.com/Special:Redirect/file/Redguard_Shield.png,https://swordburst2.fandom.com/wiki/Redguard_Shield,Redthorn Tortoise,,,175,,TRUE,,+2%,-1%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
779,Reef's Revenge,Longsword,,Legendary,425,https://swordburst2.fandom.com/Special:Redirect/file/Reef's_Revenge.png,https://swordburst2.fandom.com/wiki/Reef's_Revenge,Kraken,32500,65000,,,TRUE,12%,+24%,+24%,1,1,clean_legendaries,- Rotational Floors -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
780,Reibiku,Greatsword,Limited Merchant <small>()</small,Tribute,300,https://swordburst2.fandom.com/Special:Redirect/file/Reibiku.png,https://swordburst2.fandom.com/wiki/Reibiku,*Arcadia Exclusive Shop *Helmfirth Exclusive Shop,12000,24000,,,TRUE,15%,+25%,+25%,12,8,tributes,First Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
